name,ticker
S&K폴리텍,091340.KQ
S-OIL,010950.KS
S-OIL우,010955.KS
SAMG엔터,419530.KQ
SBI인베스트먼트,019550.KQ
SBS,034120.KS
SB성보,003080.KS
SCL사이언스,246960.KQ
SDN,099220.KQ
SFA반도체,036540.KQ
SG,255220.KQ
SG&G,040610.KQ
SGA솔루션즈,184230.KQ
SGCE&C,016250.KQ
SGC에너지,005090.KS
SG글로벌,001380.KS
SG세계물산,004060.KS
SHD,001770.KS
SH에너지화학,002360.KS
SIMPAC,009160.KS
SJG세종,033530.KS
SJM,123700.KS
SJM홀딩스,025530.KS
SK,034730.KS
SKAI,357880.KQ
SKC,011790.KS
SK가스,018670.KS
SK네트웍스,001740.KS
SK디스커버리,006120.KS
SK디스커버리우,006125.KS
SK디앤디,210980.KS
SK리츠,395400.KS
SK바이오사이언스,302440.KS
SK바이오팜,326030.KS
SK스퀘어,402340.KS
SK시그넷,260870.KS
SK아이이테크놀로지,361610.KS
SK오션플랜트,100090.KS
SK우,03473K.KS
SK이노베이션,096770.KS
SK이노베이션우,096775.KS
SK이터닉스,475150.KS
SK증권,001510.KS
SK증권우,001515.KS
SK케미칼,285130.KS
SK케미칼우,28513K.KS
SK텔레콤,017670.KS
SK하이닉스,000660.KS
SMC&C,048550.KQ
SMLIFEDESIGN,063440.KQ
SNT다이내믹스,003570.KS
SNT모티브,064960.KS
SNT에너지,100840.KS
SNT홀딩스,036530.KS
SOOP,067160.KQ
SPC삼립,005610.KS
STX,011810.KS
STX그린로지스,465770.KS
STX엔진,077970.KS
SUN&L,002820.KS
SV인베스트먼트,289080.KQ
TBH글로벌,084870.KS
TCC스틸,002710.KS
THECUBE&,013720.KQ
THEE&M,089230.KQ
TJ미디어,032540.KQ
TKG휴켐스,069260.KS
TP,007980.KS
TPC,048770.KQ
TS인베스트먼트,246690.KQ
TS트릴리온,317240.KQ
TYM,002900.KS
WISCOM,024070.KS
YBM넷,057030.KQ
YGPLUS,037270.KS
YTN,040300.KQ
YW,051390.KQ
IMBC,052220.KQ
IM금융지주,139130.KS
가비아,079940.KQ
가온그룹,078890.KQ
가온전선,000500.KS
가온칩스,399720.KQ
가이아코퍼레이션,296520.KS
감성코퍼레이션,036620.KQ
강남제비스코,000860.KS
강동씨앤엘,198440.KQ
강스템바이오텍,217730.KQ
강원랜드,035250.KS
강원에너지,114190.KQ
갤럭시아머니트리,094480.KQ
갤럭시아에스엠,011420.KS
경남스틸,039240.KQ
경남제약,053950.KQ
경농,002100.KS
경동나비엔,009450.KS
경동도시가스,267290.KS
경동인베스트,012320.KS
경동제약,011040.KQ
경방,000050.KS
경보제약,214390.KS
경인양행,012610.KS
경인전자,009140.KS
경창산업,024910.KQ
계룡건설,013580.KS
계양전기,012200.KS
계양전기우,012205.KS
고려산업,002140.KS
고려신용정보,049720.KQ
고려아연,010130.KS
고려제강,002240.KS
고려제약,014570.KQ
고바이오랩,348150.KQ
고스트스튜디오,950190.KQ
고영,098460.KQ
골드앤에스,035290.KQ
골프존,215000.KQ
골프존홀딩스,121440.KQ
공구우먼,366030.KQ
광동제약,009290.KS
광동헬스바이오,086220.KS
광명전기,017040.KS
광무,029480.KQ
광전자,017900.KS
광주신세계,037710.KS
광진실업,026910.KQ
교보15호스팩,465320.KQ
교보16호스팩,482520.KQ
교보17호스팩,489210.KQ
교보18호스팩,0041B0.KQ
교보19호스팩,0098T0.KQ
교보증권,030610.KS
교촌에프앤비,339770.KS
구영테크,053270.KQ
국도화학,007690.KS
국보디자인,066620.KQ
국순당,043650.KQ
국영지앤엠,006050.KQ
국일신동,060480.KQ
국일제지,078130.KQ
국전약품,307750.KQ
국제약품,002720.KS
그래디언트,035080.KQ
그래피,318060.KQ
그리드위즈,453450.KQ
그리티,204020.KQ
그린광학,0015G0.KQ
그린리소스,402490.KQ
그린생명과학,114450.KQ
그린케미칼,083420.KS
그린플러스,186230.KQ
극동유화,014530.KS
글로벌에스엠,900070.KQ
글로벌텍스프리,204620.KQ
글로본,019660.KQ
금강공업,014280.KS
금강공업우,014285.KS
금강철강,053260.KQ
금비,008870.KS
금양,001570.KS
금양그린파워,282720.KQ
금호건설,002990.KS
금호건설우,002995.KS
금호석유화학,011780.KS
금호석유화학우,011785.KS
금호에이치티,214330.KS
금호전기,001210.KS
금호타이어,073240.KS
금화피에스시,036190.KQ
기가레인,049080.KQ
기가비스,420770.KQ
기산텔레콤,035460.KQ
기신정기,092440.KS
기아,000270.KS
기업은행,024110.KS
까뮤이앤씨,013700.KS
깨끗한나라,004540.KS
깨끗한나라우,004545.KS
꿈비,407400.KQ
나노,187790.KQ
나노신소재,121600.KQ
나노실리칸첨단소재,286750.KQ
나노씨엠에스,247660.KQ
나노엔텍,039860.KQ
나노캠텍,091970.KQ
나노팀,417010.KQ
나눔테크,244880.KS
나라셀라,405920.KQ
나라스페이스테크놀로지,478340.KQ
나라엠앤디,051490.KQ
나래나노텍,137080.KQ
나무가,190510.KQ
나무기술,242040.KQ
나우IB,293580.KQ
나우로보틱스,459510.KQ
나우코스,257990.KS
나이벡,138610.KQ
나이스디앤비,130580.KQ
나이스정보통신,036800.KQ
나인테크,267320.KQ
남광토건,001260.KS
남선알미늄,008350.KS
남선알미우,008355.KS
남성,004270.KS
남양유업,003920.KS
남양유업우,003925.KS
남해화학,025860.KS
남화산업,111710.KQ
남화토건,091590.KQ
내츄럴엔도텍,168330.KQ
네오리진,094860.KQ
네오셈,253590.KQ
네오오토,212560.KQ
네오위즈,095660.KQ
네오위즈홀딩스,042420.KQ
네오이뮨텍,950220.KQ
네오크레마,311390.KQ
네오티스,085910.KQ
네오팜,092730.KQ
네오펙트,290660.KQ
네이블,153460.KQ
네이처셀,007390.KQ
네패스,033640.KQ
네패스아크,330860.KQ
넥사다이내믹스,351320.KQ
넥센,005720.KS
넥센우,005725.KS
넥센타이어,002350.KS
넥센타이어1우B,002355.KS
넥스턴앤롤코리아,089140.KQ
넥스트바이오메디컬,389650.KQ
넥스트아이,137940.KQ
넥스트칩,396270.KQ
넥스틴,348210.KQ
넥스틸,092790.KS
넥슨게임즈,225570.KQ
넥써쓰,205500.KQ
넵튠,217270.KQ
넷마블,251270.KS
노드메이슨,317860.KS
노랑풍선,104620.KQ
노루페인트,090350.KS
노루페인트우,090355.KS
노루홀딩스,000320.KS
노루홀딩스우,000325.KS
노머스,473980.KQ
노바렉스,194700.KQ
노바텍,285490.KQ
노브랜드,145170.KQ
노브메타파마,229500.KS
노블엠앤비,106520.KQ
노을,376930.KQ
노타,486990.KQ
녹십자,006280.KS
녹십자엠에스,142280.KQ
녹십자웰빙,234690.KQ
녹십자홀딩스,005250.KS
녹십자홀딩스2우,005257.KS
농심,004370.KS
농심홀딩스,072710.KS
농우바이오,054050.KQ
누리플랜,069140.KQ
누리플렉스,040160.KQ
누보,332290.KQ
뉴로메카,348340.KQ
뉴로핏,380550.KQ
뉴보텍,060260.KQ
뉴엔AI,463020.KQ
뉴온,123840.KQ
뉴인텍,012340.KQ
뉴키즈온,462310.KQ
뉴트리,270870.KQ
뉴파워프라즈마,144960.KQ
뉴프렉스,085670.KQ
다날,064260.KQ
다보링크,340360.KQ
다산네트웍스,039560.KQ
다산디엠씨,208860.KQ
다산솔루에타,154040.KQ
다스코,058730.KS
다올투자증권,030210.KS
다우기술,023590.KS
다우데이타,032190.KQ
다원넥스뷰,323350.KQ
다원시스,068240.KQ
다이나믹디자인,145210.KS
달바글로벌,483650.KS
닷밀,464580.KQ
대교,019680.KS
대교우B,019685.KS
대구백화점,006370.KS
대덕,008060.KS
대덕1우,00806K.KS
대덕전자,353200.KS
대덕전자1우,35320K.KS
대동,000490.KS
대동고려삼,178600.KS
대동금속,020400.KQ
대동기어,008830.KQ
대동스틸,048470.KQ
대륙제관,004780.KQ
대림바스,005750.KS
대림제지,017650.KQ
대림통상,006570.KS
대명에너지,389260.KQ
대모,317850.KQ
대보마그네틱,290670.KQ
대봉엘에스,078140.KQ
대산F&B,065150.KQ
대상,001680.KS
대상우,001685.KS
대상홀딩스,084690.KS
대상홀딩스우,084695.KS
대성미생물,036480.KQ
대성산업,128820.KS
대성에너지,117580.KS
대성창투,027830.KQ
대성파인텍,104040.KQ
대성하이텍,129920.KQ
대성홀딩스,016710.KS
대신밸런스제16호스팩,457630.KQ
대신밸런스제17호스팩,471050.KQ
대신밸런스제19호스팩,482690.KQ
대신밸류리츠,0030R0.KS
대신정보통신,020180.KQ
대신증권,003540.KS
대신증권2우B,003547.KS
대신증권우,003545.KS
대아티아이,045390.KQ
대양금속,009190.KS
대양전기공업,108380.KQ
대영포장,014160.KS
대우건설,047040.KS
대웅,003090.KS
대웅제약,069620.KS
대원,007680.KQ
대원강업,000430.KS
대원미디어,048910.KQ
대원산업,005710.KQ
대원전선,006340.KS
대원전선우,006345.KS
대원제약,003220.KS
대원화성,024890.KS
대유에이텍,002880.KS
대정화금,120240.KQ
대주산업,003310.KQ
대주이엔티,114920.KS
대주전자재료,078600.KQ
대진첨단소재,393970.KQ
대창,012800.KS
대창단조,015230.KS
대창솔루션,096350.KQ
대창스틸,140520.KQ
대한과학,131220.KQ
대한광통신,010170.KQ
대한뉴팜,054670.KQ
대한방직,001070.KS
대한약품,023910.KQ
대한유화,006650.KS
대한전선,001440.KS
대한제강,084010.KS
대한제당,001790.KS
대한제당우,001795.KS
대한제분,001130.KS
대한조선,439260.KS
대한항공,003490.KS
대한항공우,003495.KS
대한해운,005880.KS
대한화섬,003830.KS
대현,016090.KS
대호에이엘,069460.KS
대호특수강,021040.KQ
대호특수강우,021045.KQ
대화제약,067080.KQ
더네이쳐홀딩스,298540.KQ
더라미,032860.KQ
더본코리아,475560.KS
더블유게임즈,192080.KS
더블유씨피,393890.KQ
더블유에스아이,299170.KQ
더존비즈온,012510.KS
더즌,462860.KQ
더코디,224060.KQ
더콘텐츠온,302920.KS
더테크놀로지,043090.KQ
더핑크퐁컴퍼니,403850.KQ
덕산네오룩스,213420.KQ
덕산테코피아,317330.KQ
덕산하이메탈,077360.KQ
덕성,004830.KS
덕성우,004835.KS
덕신이피씨,090410.KQ
덕양에너젠,0001A0.KQ
덕우전자,263600.KQ
데브시스터즈,194480.KQ
데이원컴퍼니,373160.KQ
데이타솔루션,263800.KQ
데이터스트림즈,199150.KS
덱스터,206560.KQ
덴티스,261200.KQ
덴티움,145720.KS
도부,227420.KS
도우인시스,484120.KQ
도이치모터스,067990.KQ
도화엔지니어링,002150.KS
동구바이오제약,006620.KQ
동국S&C,100130.KQ
동국산업,005160.KQ
동국생명과학,303810.KQ
동국씨엠,460850.KS
동국알앤에스,075970.KQ
동국제강,460860.KS
동국제약,086450.KQ
동국홀딩스,001230.KS
동남합성,023450.KS
동방,004140.KS
동방메디컬,240550.KQ
동방선기,099410.KQ
동방아그로,007590.KS
동부건설,005960.KS
동부건설우,005965.KS
동서,026960.KS
동성제약,002210.KS
동성케미컬,102260.KS
동성화인텍,033500.KQ
동신건설,025950.KQ
동아쏘시오홀딩스,000640.KS
동아에스티,170900.KS
동아엘텍,088130.KQ
동아지질,028100.KS
동아화성,041930.KQ
동양,001520.KS
동양2우B,001527.KS
동양고속,084670.KS
동양생명,082640.KS
동양에스텍,060380.KQ
동양우,001525.KS
동양이엔피,079960.KQ
동양파일,228340.KQ
